,M229-Ctrl-4-Day,M229-DDR-1,M229-DTPPy-2,M229-IFNy-4-Day,M229-MRDDR2-1,M229-MRDDR4-1,M229-PLX-AZD-11-Day,M229-PLX-AZD-14-Day,M229-PLX-AZD-4-Day,M229-PLX-AZD-7-Day,M229-PLX-AZD-IFNy-11-Day,M229-PLX-AZD-IFNy-14-Day,M229-PLX-AZD-IFNy-4-Day,M229-PLX-AZD-IFNy-7-Day,M238-DTPP-2,M238-DTPPy-2,M395-RDDR-1,M397-Ctrl-4-Day,M397-DTPP2-2,M397-DTPPy,M397-IFNy-4-Day,M397-PLX-AZD-11-Day,M397-PLX-AZD-14-Day,M397-PLX-AZD-4-Day,M397-PLX-AZD-7-Day,M397-PLX-AZD-IFNy-11-Day,M397-PLX-AZD-IFNy-14-Day,M397-PLX-AZD-IFNy-4-Day,M397-PLX-AZD-IFNy-7-Day,SK28-Ctrl-4-Day,SK28-IFNy-4-Day,SK28-PLX-AZD-11-Day,SK28-PLX-AZD-14-Day,SK28-PLX-AZD-4-Day,SK28-PLX-AZD-7-Day,SK28-PLX-AZD-IFNy-11-Day,SK28-PLX-AZD-IFNy-14-Day,SK28-PLX-AZD-IFNy-4-Day,SK28-PLX-AZD-IFNy-7-Day,SKMEL28-DDR-1,SKMEL28-DTPPy1-1,SKMEL28-MRDDR-1,SKMEL28-MRDDR2-1
NAKAMURA_CANCER_MICROENVIRONMENT_UP,-0.247444507470308,0.446672569683033,-0.0151100336942466,-0.292266530376916,0.172413255075255,0.305815193239219,0.0687544543914712,0.0426480401169314,-0.290592933268149,0.0976950369047853,-0.134140661351038,-0.0563573387213084,-0.16151726692966,-0.298238263697073,0.251988182876487,0.0922785567712595,-0.297760272308995,-0.229279754917102,0.16090233055278,0.276535570026447,-0.21369527779977,0.174140809890436,-0.159559081431263,0.144468918428958,0.238790050048117,0.120924118807322,0.29330434782506,-0.0548692667887956,0.0777383379965443,-0.287243774340735,-0.254876462354148,0.14591028576101,0.0676775067707356,0.21090555072182,0.0279453134462685,-0.0952292168218484,-0.189181442961165,0.0219669317093731,0.0308106194288112,-0.0237592959845913,0.13410866791843,-0.126973572894293,0.00511809963001669
NAKAMURA_CANCER_MICROENVIRONMENT_DN,0.140055839838237,0.285183421650562,0.115731014781304,-0.176391096631187,0.644539862792129,-0.132970434352967,0.209260169968879,0.172926641741504,0.391443728656503,0.157861699811168,0.524858883805506,0.432402369345752,0.351924856686752,0.359276245244767,-0.111452599621921,-0.177419289497584,-0.325179375057662,-0.287460325896264,0.174387156742651,-0.245433880618648,-0.478642337338423,-0.565981978213918,-0.601534145587297,-0.618197755064049,-0.214197347223756,-0.435282207653861,-0.22355331462367,-0.644534915409638,-0.663098634409907,0.455737616266555,0.371179145232435,0.230225159126877,0.490338709203582,0.173882601700905,0.173376275406659,0.216703066877969,0.190198360682882,-0.210880708447206,0.346783204400591,0.318640072767557,-0.284703923541447,0.613786115310026,0.0447582211681886
WEST_ADRENOCORTICAL_TUMOR_MARKERS_UP,0.143023033217723,-0.0956528671450322,0.256964387450693,0.191832873322423,0.0113513673263142,-0.384495522558743,-0.119752722004258,-0.147890888745462,-0.0547221185450315,0.0105430294648525,0.220661762410244,0.115117842837664,0.190726371429859,-0.0433969079382636,-0.136031499655482,0.0499551920643653,-0.376439268865752,0.189784564416614,0.178625666495033,0.01083542622404,0.413674264436354,-0.168404933728983,-0.501734119470177,-0.586391785410521,-0.179540833548992,-0.217646865284576,-0.231250446697135,-0.211433475513195,-0.512006122665202,0.498554577249263,0.58805889672751,0.0407931687774009,0.45646312921793,0.0243506985019155,0.262443566952841,0.379615554410186,0.231520279384965,0.421330222612458,0.393627167868969,0.314029619847767,-0.557487572870898,0.47228959864095,-0.419797387066062
WEST_ADRENOCORTICAL_TUMOR_MARKERS_DN,-0.408942192581783,-0.125699794440815,-0.187220862306179,-0.31958302597144,-0.331512287478028,-0.222048236336049,0.287452709633696,0.309274328173413,0.0641491096466967,0.233466478262938,0.168667072936864,0.282300223796025,0.169266292284787,0.121546585179281,0.318316973896969,0.216051733298717,-0.255142825658159,-0.328696547463249,0.309328322734721,0.131259761536812,-0.508148886512348,-0.0111904532389306,-0.000126227907843002,-0.100700723911943,0.247545875039663,0.0631253573376473,0.326439145125656,-0.124950394691781,-0.209545413933848,-0.562654740024725,-0.538898358667019,0.0629401689180266,0.16576429876059,-0.0581167101723342,0.0988307223266235,0.320246713152875,0.321157556437848,0.162402135923985,0.376420181703746,-0.0416579937438669,-0.235052613989415,-0.169408940592923,-0.157893778630325
WINTER_HYPOXIA_UP,0.381478023436999,-0.237424361773346,0.28315332606285,0.50416468120271,0.26956913512835,-0.400992639211013,0.118962007481403,0.0391630221626028,0.212130824751417,0.156976879051837,0.317250845436554,0.341077147854024,0.244332769778275,0.335589108170301,0.252976047611112,0.102281528310493,-0.582555710274202,-0.283414163704599,0.145115197651082,0.201896713817124,-0.0984148532459775,-0.591832376386714,-0.630513816906286,-0.534473977558035,-0.177860668037212,-0.301217346293742,0.0101698244787375,-0.163223202937114,-0.393042236284266,0.237407577682969,0.280310306606112,0.0366933906662084,0.253418714596777,-0.0260322231049428,0.210582856335792,0.348819828680473,0.325734921820778,0.260303826873566,0.39093980614983,0.323481574321307,-0.444799961408755,0.292717452670176,-0.318049558166787
WINTER_HYPOXIA_DN,0.109831886602406,-0.20224061724689,-0.149437821863955,0.147161213767083,0.0548053224110714,-0.0688505155293925,-0.0388930177205329,0.0162799485623958,0.0229538956145288,-0.0764627038470352,0.000318159091001274,0.0518593469701634,-0.0563099910991217,0.00148090076740101,0.0654572552506812,-0.129729272750552,0.113627718511649,-0.150454926299813,-0.0628974117736082,0.0104338518515926,-0.222684438037127,-0.190327525827687,-0.275366218638002,-0.114457285877398,-0.00892469575531193,0.0271156964257602,0.0316295094409876,-0.010933130500025,-0.0734158027627215,0.0266344548098418,0.0510671238882692,-0.145874634299894,-0.0982076434337872,-0.0347898104948786,-0.154053671046555,0.131597494951229,0.34886619038467,-0.255740210782684,0.0358792248823135,0.214171805483303,0.0465804165988947,0.129937482512688,0.0775142496935507
PARENT_MTOR_SIGNALING_UP,0.0980994664835324,-0.101212521620481,-0.288531658371632,0.162672599959864,-0.120525644128461,-0.270433667026625,0.0359734016213412,0.0541547034599547,0.0848887527305361,0.0561530622641385,0.109158030228012,0.0752735177762893,0.124765403960127,0.0164908019933555,0.194111975447318,0.151368142383202,-0.09762687337441,-0.0514814357461081,0.138697947684444,0.117576339698399,0.0171279445322602,-0.0681053509312163,-0.332635029935328,-0.266006020456612,0.0325464128266344,-0.109880399200911,-0.0648173695896472,0.082653291617994,-0.232892536897245,0.118327530903589,0.0822834154558953,0.0336671066351033,0.076731868555718,0.146023459657276,0.0473196944183028,0.124936942771145,0.239445485321954,0.222892407147234,0.118144125520789,-0.0625628671555611,-0.370575800247253,-0.0492409577960613,-0.367404298016523
PARENT_MTOR_SIGNALING_DN,-0.0400298689380529,-0.186009605692779,-0.304922519950486,0.0465297350129063,0.260177942982691,-0.142835690839888,0.355435844216608,0.225506922604056,0.0890731773453392,0.231503753421175,0.240085398182774,0.126096311178194,-0.160641403355815,0.218754533501928,-0.0227856334754552,0.0464817397358799,-0.114063205719662,-0.347968371602221,-0.133388920449339,0.0382994743788747,-0.190880800704212,-0.0785921857463792,-0.344987363624283,-0.209685398978115,0.0749785286128653,-0.19749056212833,0.0584679382568072,-0.241557697998081,-0.0544010382214101,-0.015439446978435,-0.270090547425833,0.2712158571516,0.391439578262265,0.0678875591994177,-0.00259994450509676,0.337457517930434,0.392682356693321,-0.0353842760508765,0.164738852916809,-0.0708372456452933,0.0177690405870727,0.0310659029302526,0.0582519824320197
PYEON_HPV_POSITIVE_TUMORS_UP,-0.141813477220294,0.220256927310658,-0.337148835378715,-0.149564566090206,0.0414430523395191,-0.243408664639772,0.0528425688830165,-0.304734811646589,0.000642889458295187,-0.16464731127796,-0.0769252058396902,-0.149647096015306,-0.142760218801242,-0.102115607954763,0.00842907522998571,0.0529715738780578,0.277354986714265,0.229948760779018,0.282800459166907,-0.0583371274375947,0.196212246293475,0.265129920908523,-0.0500363151915934,-0.053369933070006,0.328715823548029,0.0820551435322523,0.108515088343021,0.085699538608461,0.014087041434009,-0.184054907993017,-0.243202700103135,0.244056590452771,-0.00640966461702924,-0.0997055290214844,-0.079718063471212,-0.121115844565858,-0.100966649206544,-0.15201977566002,-0.151145751869325,-0.226304278650923,-0.255370013004291,-0.219082497279581,-0.244839931456126
NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_UP,0.170410157344275,-0.135317649713088,-0.0174247860014073,0.1046004180246,0.259433992359643,-0.209724117642585,0.290338806630297,0.284634515500484,0.197961164764191,0.275559374982162,0.277797996438099,0.259688953785374,0.0720405464003901,0.195944619800868,0.222250700436646,0.148317033730229,-0.32721582996804,-0.341629477910316,0.291095515401885,0.103122651974505,-0.412454601165256,-0.407821383291276,-0.459273452664213,-0.557571803263445,0.0263297979231068,-0.289553437364147,-0.00607821002452427,-0.272568634224199,-0.466736037938122,-0.0667816927984039,-0.00577009341795451,0.149163915549279,0.292259678515597,-0.0772970472997955,0.186981146142013,0.394987036799184,0.354670754725965,0.0530104426482149,0.200057137753983,0.189247939628392,-0.360277908323798,0.355425452690587,-0.221507816002979
